"ID_student","V1","V2"
800,2,1
801,2,4
802,2,2
803,4,4
805,3,5
817,2,1
818,1,1
823,1,1
829,1,1
839,1,1
842,4,4
843,1,1
845,1,1
846,1,1
847,1,1
848,3,1
849,1,1
850,1,1
851,3,2
852,2,1
853,1,1
854,1,1
855,1,1
856,2,1
860,3,1
861,1,1
862,1,2
863,1,1
864,1,1
869,1,1
870,1,1
875,1,1
876,1,1
878,1,2
880,1,2
881,1,1
885,2,1
886,1,2
887,2,2
891,3,2
893,2,1
894,3,2
895,2,1
897,2,1
898,3,1
899,3,2
900,1,1
902,1,1
904,1,1
906,1,2
907,1,1
908,2,1
910,1,1
911,2,3
912,2,1
913,2,1
916,1,1
919,2,1
921,1,1
922,1,1
923,1,1
924,1,1
925,1,1
926,1,1
927,1,1
930,1,1
934,3,1
937,2,1
938,1,1
939,2,1
940,2,1
941,1,1
942,1,1
943,1,2
945,1,1
947,1,1
948,1,1
950,2,1
951,1,1
952,4,1
953,6,3
955,1,1
956,1,1
957,1,1
959,1,1
962,4,4
963,2,1
967,1,1
968,2,2
969,1,1
