"ID_student","V1","V2"
800,1,1
801,2,3
802,3,1
803,3,5
805,1,5
817,5,5
818,3,3
823,2,2
829,1,1
839,1,1
842,3,4
843,1,1
845,2,7
846,1,1
847,1,1
848,2,2
849,1,3
850,3,2
851,5,3
852,3,3
853,2,3
854,3,2
855,4,3
856,1,1
860,5,3
861,4,1
862,3,2
863,1,1
864,1,1
869,1,3
870,1,2
875,3,3
876,4,5
878,3,3
880,7,3
881,2,1
885,3,1
886,3,1
887,3,4
891,1,2
893,5,7
894,1,4
895,1,1
897,2,1
898,7,2
899,3,1
900,1,3
902,4,1
904,1,1
906,1,3
907,2,1
908,1,1
910,1,2
911,2,2
912,1,2
913,1,1
916,3,3
919,1,3
921,5,1
922,3,1
923,1,1
924,1,1
925,3,2
926,1,1
927,2,1
930,1,1
934,5,1
937,2,3
938,1,1
939,5,4
940,5,4
941,3,2
942,1,1
943,1,2
945,4,5
947,1,2
948,1,1
950,2,1
951,1,1
952,1,1
953,3,7
955,1,1
956,1,1
957,1,4
959,1,1
962,5,5
963,3,1
967,2,3
968,3,5
969,1,1
