ID_student	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10
800	806	1009								
801	821	817								
802	807	1037	1010	805	800	1007	809			
803	815	817	801	821	813					
804										
805	802	1010	807	808	1007	800	814			
806										
807	849	802	805	808	1007	809	1010			
808	1010	802	805	807	1007	816	800			
809										
810	818	813	1009	888	820					
811										
812	811	819	818	843	841	834	832	824	837	865
813										
814	805	801	817	1007	1008	807				
815										
816										
817	813	801	814	803	815	821				
818	810	813	1009	812	888	820	817			
819										
820										
821										
823	826	843	841	837						
824										
825	836	849	850	839						
826										
828										
829	846	852	842							
830										
831										
832										
833										
834										
835	849	831	838	836	851					
836	825	839	850	849	835	848				
837										
838										
839	850	836	849	838	835					
840										
841	843	834	990	837	824	849	823	836	851	832
842	852	846	829	990						
843	841	834	823	826	837	824	851	849		
844										
845	847	844	851	848						
846	829	852	842							
847	807	845	885	852	836	846	849			
848	851	847	850	836	839	990		849	845	
849	835	838	836	831	841	843	850	839	851	
850	839	836	825	849	831	838				
851	848	847	845							
852	846	829	842							
853	886	870	881	859	876	869	854	885	874	878
854	855	862	831							
855	854	860	864	861	831	838				
856	880									
857										
858	877	855	854	874						
859										
860	869	887	874	871	886		868			
861	864	992	885	855	854					
862	863	854	869	876	874	860	888	887		
863	876	862	869	874						
864	861	992	855	854						
865	862	872	994	866						
866	862	865	872							
867										
868										
869	876	881	993							
870	878	853	886	875	860					
871										
872										
873										
874	995	879	871	885	863	860	887	868		
875										
876	869	881	993	863	888					
877										
878	870	853	886							
879										
880	856	854	855							
881	876	853	886	888	869	863	862	875	854	887
882										
883										
884										
885	871	877	887	886	853	995	874	868	879	1013
886	853	881	876	869	870	878	879	885	854	855
887	872	885	879	995	874					
888	868	993	876	863	875					
889										
890										
891	906	889								
892	907	913	912							
893	899	908	898	911						
894	910	915								
895	894	915	910	861		898	908			
896	902	933	936	936	906	905	911	900		
897	895	900								
898	908	910	915	899	893	895				
899	893	908	898	911						
900	911	914	902							
901	906	905	902	896	900	904				
902	896	941	916	916	940					
903										
904	906	905	902	900						
905	906	901	904							
906	901	904	905							
907	892	912	913							
908	898	899	893	910	915					
909										
910	915	898	894	895	908	911				
911	914	900	937							
912	913	907	892							
913	907	912	892							
914										
915	910	894	895	898	908					
916	941	940	902	936						
917	948	916	940	934	947	937	939	922		
918										
919	947	934	937							
920	948	927	940	941	923	926	935			
921	922	938	918							
922	938	918	921	944	927					
923	926	945	935	925	941	916	940	920	927	
924	936	934	947	919	930	937				
925	935	945								
926	923	941	945	925	935	916	920	940	927	
927	940	935	926	916	937	920	923	945	925	922
928	929	934	919	937	936	924	939	942		
929	928	943	937	919	934	924	936	947	948	
930	919	934	937							
932										
933	923	936	924	941	918	896	902			
934	919	947	924	930	928	929	937			
935	945	925	926	923	927	920	941	940		
936	924	933	946							
937	947	924	919	934	939	942				
938	922	921	918	944	924					
939	942	937	947	934	936	924	930	860	964	
940	941	916	927	902						
941	902	940	916	923	926	917	927			
942	939	860	937							
943	948									
944	938	926	923	936	933	918	945	921	922	924
945	925	935	923	926						
946										
947	919	934	924	937						
948	917	927	920	940	944					
949										
950	951	952	964	961						
951	952	964	955	962	950					
952	951	964	955	950						
953	968	957		965						
954										
955	952	951								
956	954									
957	953	968								
958										
959	967	964	950	955						
960										
961	964	950	951	952	955	962	965	968	967	959
962	965		952	951						
963	965	962								
964	961	950	951	952						
965	963	962	957	968	953					
966										
967	970	962	959	965	950					
968	957	953	965	962						
969	964	959	966	965	963					
970	967	950	962	959	953					
974	996	1004	1003							
975	980	979	984	986	997	1031	978	1005	976	
976	997		985							
977	1037	1031	983	981	984	983	978			
978	1005	1031	980	984	1004	975	997	1037	976	1014
979	984	975	980	978	1005	1031	1003	997	986	981
980	975	984	1005	978	979	997	986	1031	1004	996
981										
982										
983	982	981	985	986	1014	1016				
984	975	980	1000	1005	978	1031	986	1004	997	979
985	1014									
986	997	983	980	982	975					
990										
991										
992										
993										
994										
995										
996										
997										
998										
999										
1000										
1001										
1002										
1003										
1004										
1005										
1006										
1007										
1008										
1009										
1010										
1011										
1012										
1013										
1014										
1015										
1016										
1017										
1019										
1020										
1021										
1022										
1023										
1024										
1025										
1026										
1028										
1029										
1030										
1031										
1037										
1038										
1039										
1040										
1041										
1043										
1044										
1045										
1046										
1047										
1049										
1050										
1051										
1052										
1053										
1054										
1055										
1056										
2401										
2402										
2403										
2404										
2405										
2406										
2407										
2408										
2409										
2410										
2411										
2412										
2413										
