ID_student,v1,v2,v3,v4,v5,v6,v7,v8
800,meloman,,,,,,,
801,rock,,,,,,,
802,meloman,hiphop,rap,pop,,,,
803,rap,,,,,,,
804,alternative,meloman,indierock,rock,punk,,,
805,hiphop,rap,,,,,,
806,rap,edm,,,,,,
809,hiphop,,,,,,,
811,hiphop,meloman,,,,,,
813,edm,rock,,,,,,
815,classics,meloman,,,,,,
816,rap,hiphop,rock,,,,,
817,heavymetal,alternative,hiphop,punk,metal,,,
818,rock,punk,reggea,indierock,alternative,,,
819,alternative,pop,,,,,,
820,dubstep,house,edm,,,,,
821,rock,alternative,punk,,,,,
822,classics,meloman,rock,pop,,,,
823,classics,,,,,,,
824,pop,hiphop,edm,,,,,
826,pop,,,,,,,
827,punk,rap,alternative,indierock,,,,
828,rock,heavymetal,horrorpunk,,,,,
829,rock,,,,,,,
830,meloman,punk,alternative,,,,,
831,meloman,,,,,,,
832,folk,classics,,,,,,
833,meloman,,,,,,,
834,meloman,,,,,,,
837,meloman,,,,,,,
838,meloman,,,,,,,
839,rap,,,,,,,
840,pop,,,,,,,
842,meloman,,,,,,,
843,meloman,,,,,,,
844,rap,hiphop,,,,,,
845,alternative,hardrock,rock,punk,,,,
846,pop,alternative,punk,,,,,
847,pop,classics,,,,,,
848,rock,punk,horrorpunk,alternative,,,,
849,meloman,,,,,,,
850,meloman,rap,,,,,,
851,alternative,punk,,,,,,
852,meloman,,,,,,,
853,alternative,rap,hiphop,,,,,
854,meloman,,,,,,,
855,rock,rap,hiphop,,,,,
856,hardrock,,,,,,,
857,classics,heavymetal,rock,,,,,
859,edm,,,,,,,
860,folk,edm,hiphop,rap,punk,rap,,
861,meloman,,,,,,,
862,meloman,,,,,,,
863,rock,alternative,,,,,,
864,meloman,,,,,,,
867,meloman,,,,,,,
868,hiphop,,,,,,,
869,meloman,,,,,,,
870,rock,,,,,,,
871,heavymetal,pop,,,,,,
872,hiphop,rap,,,,,,
873,rap,,,,,,,
875,horrorpunk,rock,folk,,,,,
876,rock,meloman,,,,,,
877,rock,alternative,,,,,,
878,heavymetal,hardrock,metal,rock,,,,
879,pop,electro,punk,edm,soul,rock,hardrock,alternative
880,rock,metal,,,,,,
881,meloman,rock,,,,,,
882,hiphop,dubstep,rock,rap,,,,
883,pop,rap,hiphop,,,,,
884,alternative,,,,,,,
885,rap,pop,,,,,,
886,rock,classics,punk,,,,,
887,meloman,,,,,,,
889,meloman,,,,,,,
890,hiphop,indierock,rap,,,,,
891,pop,,,,,,,
893,punk,alternative,hardrock,,,,,
894,rap,rock,,,,,,
895,punk,rock,,,,,,
897,horrorpunk,rock,metal,,,,,
898,dubstep,,,,,,,
899,punk,alternative,,,,,,
900,meloman,,,,,,,
902,rock,,,,,,,
903,rap,,,,,,,
904,meloman,,,,,,,
906,classics,,,,,,,
907,house,,,,,,,
908,meloman,,,,,,,
909,rock,,,,,,,
910,meloman,,,,,,,
911,edm,classics,,,,,,
912,meloman,edm,,,,,,
913,meloman,,,,,,,
914,dubstep,edm,pop,soul,,,,
916,classics,rock,electro,,,,,
918,indiepop,alternative,punk,rock,,,,
919,dubstep,,,,,,,
921,meloman,,,,,,,
922,pop,,,,,,,
923,rap,folk,,,,,,
924,meloman,,,,,,,
925,classics,pop,rock,,,,,
926,rock,hardrock,electro,,,,,
927,alternative,pop,punk,,,,,
930,punk,rap,,,,,,
931,pop,rap,,,,,,
932,rock,,,,,,,
934,rap,edm,hiphop,,,,,
937,dubstep,,,,,,,
938,rock,horrorpunk,,,,,,
939,hardrock,alternative,rock,,,,,
940,meloman,,,,,,,
941,soul,hiphop,classics,rap,pop,,,
942,alternative,pop,metal,,,,,
943,meloman,,,,,,,
945,meloman,classics,pop,rock,,,,
947,classics,,,,,,,
948,classics,rock,rap,,,,,
949,hiphop,rap,emocore,hiphop,,,,
950,meloman,pop,rap,edm,,,,
951,hiphop,punk,rap,,,,,
952,punk,dubstep,reggea,,,,,
953,meloman,,,,,,,
954,alternative,rap,hiphop,,,,,
955,pop,rock,hiphop,,,,,
956,rock,emocore,metal,,,,,
957,meloman,,,,,,,
958,rock,,,,,,,
959,rap,,,,,,,
960,rap,hiphop,,,,,,
962,rap,hiphop,,,,,,
963,punk,rap,edm,,,,,
966,horrorpunk,classics,rock,,,,,
967,meloman,,,,,,,
968,hiphop,,,,,,,
969,blues,country,folk,,,,,
