ID_student,v1,v2,v3,v4,v5,v6,v7
800,meloman,hiphop,,,,,
801,rock,hardeock,pop,,,,
802,meloman,,,,,,
803,rap,alternative,,,,,
805,rap,edm,,,,,
807,hiphop,,,,,,
808,hardrock,punk,alternative,,,,
810,alternative,hardrock,electro,rock,indierock,,
812,alternative,classics,rock,pop,emocore,,
814,pop,hiphop,house,edm,,,
817,rock,alternative,punk,,,,
818,hardrock,metalcore,indierock,rock,alternative,,
823,classics,,,,,,
825,meloman,hiphop,rock,electro,rap,alternative,
829,meloman,,,,,,
835,edm,,,,,,
836,meloman,,,,,,
839,meloman,,,,,,
841,alternative,,,,,,
842,meloman,,,,,,
843,alternative,,,,,,
845,hardrock,alternative,heavymetal,,,,
846,meloman,,,,,,
847,pop,,,,,,
848,rock,indierock,folk,,,,
849,meloman,,,,,,
850,meloman,edm,,,,,
851,rock,alternative,punk,,,,
852,meloman,,,,,,
853,indierock,rap,pop,dubstep,punk,,
854,pop,rock,,,,,
855,meloman,,,,,,
856,heavymetal,hardcore,,,,,
858,heavymetal,electro,,,,,
860,hiphop,,,,,,
861,meloman,rap,pop,punk,rock,,
862,meloman,,,,,,
863,meloman,,,,,,
864,meloman,rap,pop,punk,,,
865,hardrock,punk,alternative,pop,,,
866,pop,rock,,,,,
869,meloman,rap,,,,,
870,rock,,,,,,
874,meloman,edm,,,,,
875,rock,rock,horrorpunk,pop,,,
876,meloman,,,,,,
878,rock,metal,hardrock,industrial,alternative,,
880,rock,rock,heavymetal,,,,
881,rock,hiphop,classics,rock,reggea,alternative,heavymetal
885,pop,,,,,,
886,rock,classics,dubstep,,,,
887,pop,,,,,,
888,pop,,,,,,
891,pop,,,,,,
892,edm,hiphop,rap,,,,
893,meloman,,,,,,
894,pop,meloman,,,,,
895,rock,,,,,,
896,meloman,,,,,,
897,pop,rock,hiphop,,,,
898,meloman,,,,,,
899,punk,,,,,,
900,meloman,,,,,,
901,meloman,,,,,,
902,rock,,,,,,
904,alternative,rock,pop,hiphop,,,
905,rock,jazz,electro,,,,
906,meloman,,,,,,
907,edm,rock,house,rap,,,
908,meloman,,,,,,
910,meloman,rock,,,,,
911,meloman,,,,,,
912,edm,,,,,,
913,meloman,,,,,,
915,meloman,,,,,,
916,hardrock,classics,rock,,,,
917,meloman,,,,,,
919,meloman,,,,,,
920,meloman,,,,,,
921,meloman,,,,,,
922,pop,hiphop,indiepop,,,,
923,indierock,rap,,,,,
924,meloman,,,,,,
925,meloman,,,,,,
926,hiphop,pop,soul,,,,
927,dubstep,alternative,pop,punk,hiphop,,
928,rap,alternative,hiphop,,,,
929,alternative,electro,industrial,pop,rock,,
930,electro,,,,,,
933,alternative,,,,,,
934,edm,,,,,,
935,punk,alternative,rap,meloman,,,
936,rock,folk,alternative,classics,punk,indierock,
937,meloman,pop,soul,,,,
938,rock,alternative,,,,,
939,alternative,emocore,rock,pop,horrorpunk,,
940,alternative,rap,,,,,
941,indiepop,folk,rap,,,,
942,indierock,punk,rock,rap,emocore,,
943,meloman,,,,,,
944,rock,neoclassics,,,,,
945,meloman,rock,pop,,,,
946,blues,classics,rock,industrial,metal,,
947,pop,,,,,,
948,classics,rock,rap,edm,,,
950,electro,alternative,punk,rock,,,
951,pop,alternative,rock,,,,
952,alternative,rock,,,,,
953,meloman,rap,,,,,
955,meloman,,,,,,
956,rock,folk,metal,alternative,heavymetal,,
957,classics,,,,,,
959,pop,,,,,,
961,industrial,rock,punk,metal,,,
962,rap,hiphop,,,,,
963,alternative,edm,,,,,
964,rock,hardrock,pop,,,,
965,punk,alternative,rock,classics,,,
967,rap,,,,,,
968,meloman,,,,,,
969,country,blues,rock,folk,electro,,
929,alternative,electro,industrial,pop,rock,,
