"","ID_student","first","second","third"
"1","800",3,6,5
"2","801",1,3,6
"3","802",1,3,6
"4","803",1,3,6
"5","804",5,3,6
"6","805",3,6,5
"7","806",3,6,5
"8","809",3,6,5
"9","811",3,6,5
"10","813",5,3,6
"11","815",3,6,5
"12","816",4,3,6
"13","817",6,3,5
"14","818",5,3,6
"15","819",4,3,6
"16","820",2,3,6
"17","821",5,3,6
"18","822",6,3,5
"19","823",4,3,6
"20","824",4,3,6
"21","826",2,3,6
"22","827",5,3,6
"23","828",6,3,5
"24","829",6,3,5
"25","830",3,6,5
"26","831",3,6,5
"27","832",5,3,6
"28","833",3,6,5
"29","834",3,6,5
"30","837",3,6,5
"31","838",3,6,5
"32","839",4,3,6
"33","840",3,6,5
"34","842",3,6,5
"35","843",3,6,5
"36","844",3,6,5
"37","845",6,3,5
"38","846",4,3,6
"39","847",4,3,6
"40","848",6,3,5
"41","849",3,6,5
"42","850",3,6,5
"43","851",2,3,6
"44","852",3,6,5
"45","853",1,3,6
"46","854",3,6,5
"47","855",6,1,3
"48","856",2,3,6
"49","857",3,6,5
"50","859",4,3,6
"51","860",1,3,6
"52","861",3,6,5
"53","862",3,6,5
"54","863",6,3,5
"55","864",3,6,5
"56","867",3,6,5
"57","868",3,6,5
"58","869",3,6,5
"59","870",6,3,5
"60","871",1,3,6
"61","872",3,6,5
"62","873",3,6,5
"63","875",6,3,5
"64","876",3,6,5
"65","877",5,3,6
"66","878",2,3,6
"67","879",2,3,6
"68","880",5,3,6
"69","881",5,3,6
"70","882",3,6,5
"71","883",4,3,6
"72","884",6,3,5
"73","885",4,3,6
"74","886",4,3,6
"75","887",3,6,5
"76","889",3,6,5
"77","890",6,3,5
"78","891",3,6,5
"79","893",4,3,6
"80","894",3,6,5
"81","895",2,3,6
"82","897",6,3,5
"83","898",2,3,6
"84","899",4,3,6
"85","900",3,6,5
"86","902",6,3,5
"87","903",3,6,5
"88","904",3,6,5
"89","906",5,4,3
"90","907",6,3,5
"91","908",3,6,5
"92","909",3,6,5
"93","910",3,6,5
"94","911",4,3,6
"95","912",3,6,5
"96","913",3,6,5
"97","914",4,3,6
"98","916",1,3,6
"99","918",6,3,5
"100","919",2,3,6
"101","921",3,6,5
"102","922",2,3,6
"103","923",5,3,6
"104","924",3,6,5
"105","925",4,3,6
"106","926",2,3,6
"107","927",1,3,6
"108","930",4,3,6
"109","931",3,6,5
"110","932",5,3,6
"111","934",3,6,5
"112","937",2,3,6
"113","938",6,3,5
"114","939",5,3,6
"115","940",3,6,5
"116","941",3,6,5
"117","942",2,3,6
"118","943",3,6,5
"119","945",3,6,5
"120","947",3,6,5
"121","948",3,6,5
"122","949",3,6,5
"123","950",2,3,6
"124","951",5,3,6
"125","952",4,3,6
"126","953",3,6,5
"127","954",1,3,6
"128","955",2,3,6
"129","956",6,3,5
"130","957",5,3,6
"131","958",6,3,5
"132","959",4,3,6
"133","960",3,6,5
"134","962",3,6,5
"135","963",4,3,6
"136","966",6,3,5
"137","967",3,6,5
"138","968",1,3,6
"139","969",4,3,6
